date_unix,date_GMT,Country,League,Home Team,Away Team,Home Team Points Per Game (Pre-Match),Away Team Points Per Game (Pre-Match),Home Team Points Per Game (Current),Away Team Points Per Game (Current),Average Goals,BTTS Average,Over05 Average,Over15 Average,Over25 Average,Over35 Average,Over45 Average,Over05 FHG HT Average,Over15 FHG HT Average,Over05 2HG Average,Over15 2HG Average,Average Corners,Average Cards,Average Over 8.5 Corners,Average Over 9.5 Corners,Average Over 10.5 Corners,Match Status,Result - Home Team Goals,Result - Away Team Goals,Home Team Corners,Away Team Corners,Home Team Offsides,Away Team Offsides,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,Home Team Shots,Away Team Shots,Home Team Shots On Target,Away Team Shots On Target,Home Team Shots Off Target,Away Team Shots Off Target,Home Team Possession,Away Team Possession,Odds_Home_Win,Odds_Draw,Odds_Away_Win,Odds_Over15,Odds_Over25,Odds_Over35,Odds_Over45,Odds_BTTS_Yes,Odds_BTTS_No,Home Team Pre-Match xG,Away Team Pre-Match xG,Home Team xG,Away Team xG,Odds_Under05,Odds_Under15,Odds_Under25,Odds_Under35,Odds_Under45,Odds_DoubleChance_1x,Odds_DoubleChance_12,Odds_DoubleChance_x2,Odds_DrawNoBet_1,Odds_DrawNoBet_2,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115,Odds_Corners_Under75,Odds_Corners_Under85,Odds_Corners_Under95,Odds_Corners_Under105,Odds_Corners_Under115,Under05 Average,Under15 Average,Under25 Average,Under35 Average,Under45 Average,Odds_1st_Half_Over05,Odds_1st_Half_Over15,Odds_1st_Half_Over25,Odds_1st_Half_Under05,Odds_1st_Half_Under15,Odds_1st_Half_Under25,Odds_2nd_Half_Over05,Odds_2nd_Half_Over15,Odds_2nd_Half_Over25,Odds_2nd_Half_Under05,Odds_2nd_Half_Under15,Odds_2nd_Half_Under25,Odds_1st_Half_BTTS_Yes,Odds_1st_Half_BTTS_No,Odds_2nd_Half_BTTS_Yes,Odds_2nd_Half_BTTS_No,1H BTTS Average,Odds_Home_Team_Had_More_Corners,Odds_Both_Teams_Same_Corners,Odds_Away_Team_Had_More_Corners,Home Team Overall Points Per Game (Pre-Match),Away Team Overall Points Per Game (Pre-Match),Game Week,Match FootyStats URL
1765914300,Dec 16 2025 - 7:45pm,England,National League North,South Shields FC,Peterborough Sports,2.30,0.67,2.30,0.67,3.39,59,100,79,69,54,27,89,49,90,57,8.66,1.44,52,52,42,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.43,4.40,6.00,1.13,1.52,2.20,4.10,1.61,2.16,1.69,1.55,0.00,0.00,12.80,4.50,2.36,1.60,1.16,1.16,1.14,2.22,1.14,5.00,1.32,1.61,2.01,2.51,3.64,2.93,2.15,1.57,1.44,1.20,0,22,32,47,73,1.26,2.27,5.15,3.32,1.53,1.10,1.12,1.77,3.28,4.70,1.93,1.25,N/A,N/A,N/A,N/A,39,1.26,9.50,4.10,2.15,1.00,20,/england/peterborough-sports-fc-vs-south-shields-fc-h2h-stats
1765914300,Dec 16 2025 - 7:45pm,England,Counties Leagues Combined Counties Premier South,Redhill,Balham,2.33,0.90,2.33,0.90,3.20,74,95,79,64,52,21,85,53,74,48,0.00,0.00,0,0,0,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,21,37,48,79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,N/A,N/A,N/A,1.89,0.90,17,/england/redhill-fc-vs-balham-fc-h2h-stats
1765914300,Dec 16 2025 - 7:45pm,England,Counties Leagues Combined Counties Premier South,Alton Town,Fleet Town,1.30,1.20,1.30,1.20,3.10,65,95,85,65,40,20,75,45,70,30,0.00,0.00,0,0,0,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,15,35,60,80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39,N/A,N/A,N/A,1.15,1.67,0,/england/fleet-town-fc-vs-alton-town-fc-h2h-stats
1765914300,Dec 16 2025 - 7:45pm,Scotland,Lowland League,Gretna 2008,Celtic II,0.65,1.53,0.65,1.53,4.18,74,100,95,77,57,44,74,44,87,69,9.66,-0.92,63,58,50,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.70,4.50,1.48,N/A,1.27,1.73,N/A,N/A,N/A,0.98,1.59,0.00,0.00,N/A,N/A,3.27,2.00,N/A,N/A,N/A,N/A,4.00,1.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,6,23,44,57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23,N/A,N/A,N/A,0.65,1.53,21,/scotland/gretna-fc-2008-vs-celtic-fc-ii-h2h-stats
1765914300,Dec 16 2025 - 7:45pm,England,Counties Leagues North West Counties League,City of Liverpool,Chadderton,0.71,1.67,0.71,1.67,4.67,62,98,87,77,64,46,0,0,0,0,0.00,-2.00,0,0,0,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,14,24,36,54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.71,1.67,28,/england/city-of-liverpool-fc-vs-chadderton-fc-h2h-stats
1765914300,Dec 16 2025 - 7:45pm,England,Surrey Senior Cup,Horley Town,Sheerwater,3.00,3.00,3.00,3.00,2.50,50,100,50,50,50,0,0,0,0,0,0.00,-2.00,0,0,0,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,50,50,50,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,3.00,3.00,5,/england/horley-town-fc-vs-sheerwater-fc-h2h-stats
1765914300,Dec 16 2025 - 7:45pm,England,Isthmian Premier Division,Chichester City,Cheshunt,1.33,1.21,1.33,1.21,2.91,67,92,87,57,32,14,68,35,87,55,6.46,-1.07,57,38,34,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.15,3.42,2.75,1.18,1.68,2.62,5.50,1.56,2.22,1.33,1.15,0.00,0.00,10.20,3.84,2.04,1.38,1.12,1.22,1.25,1.55,1.66,2.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,14,43,68,87,1.30,2.44,5.50,3.04,1.45,1.09,1.20,1.89,4.10,4.00,1.79,1.19,N/A,N/A,N/A,N/A,27,N/A,N/A,N/A,1.33,1.21,8,/england/chichester-city-fc-vs-cheshunt-fc-h2h-stats
1765914300,Dec 16 2025 - 7:45pm,Scotland,Challenge Cup,Hearts U21,St. Johnstone,1.00,0.00,1.00,0.00,1.92,34,50,34,34,34,34,34,34,50,25,3.67,0.83,50,34,25,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.00,12.00,1.03,1.18,1.20,1.65,2.61,2.12,1.56,1.48,0.00,0.00,0.00,25.00,4.50,4.04,2.10,1.30,1.04,1.10,1.00,15.00,1.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,17,17,17,17,1.17,1.83,3.58,3.96,1.77,1.21,1.09,1.58,2.30,5.35,2.10,1.55,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,1.00,0.00,0,/scotland/saint-johnstone-fc-vs-heart-of-midlothian-fc-under-21-h2h-stats
1765914300,Dec 16 2025 - 7:45pm,Scotland,Challenge Cup,Queen's Park,Clyde,0.00,1.67,0.00,1.67,2.17,42,50,50,50,34,9,50,34,50,25,4.33,2.50,34,34,17,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.00,3.55,3.05,1.20,1.62,2.43,4.65,1.50,2.18,0.00,1.65,0.00,0.00,15.00,4.20,2.15,1.48,1.17,1.20,1.20,1.78,1.36,3.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,17,42,1.33,2.40,5.70,3.00,1.50,1.08,1.13,1.77,3.50,4.60,1.95,1.22,N/A,N/A,N/A,N/A,25,N/A,N/A,N/A,0.00,1.67,0,/scotland/queens-park-fc-vs-clyde-fc-h2h-stats
1765914300,Dec 16 2025 - 7:45pm,Scotland,Challenge Cup,Elgin City,East Fife,1.83,2.17,1.83,2.17,3.83,83,100,92,75,59,34,92,50,92,59,12.00,2.33,58,58,34,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.80,3.45,2.15,1.18,1.42,2.15,3.28,1.40,2.82,1.93,2.06,0.00,0.00,23.00,4.50,2.65,1.63,1.25,1.18,1.22,1.24,2.20,1.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,9,25,42,67,1.19,2.13,3.90,4.20,1.60,1.21,1.09,1.62,2.70,6.10,2.16,1.41,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,1.83,2.17,0,/scotland/east-fife-fc-vs-elgin-city-fc-h2h-stats
